SITE_ID,SITE_NAME,TIMESTAMP,DEPTH,WTEMP
FI-Kil,Kilpisjarvi,20140117,0.75,0.538304714
FI-Kil,Kilpisjarvi,20140117,5,0.542900637
FI-Kil,Kilpisjarvi,20140117,7,0.526052484
FI-Kil,Kilpisjarvi,20140117,11.2,0.515531234
FI-Kil,Kilpisjarvi,20140117,13.35,0.48562077
FI-Kil,Kilpisjarvi,20140117,17.6,0.528663034
FI-Kil,Kilpisjarvi,20140117,23.75,0.494352821
FI-Kil,Kilpisjarvi,20140117,25.8,0.49988251
FI-Kil,Kilpisjarvi,20140117,27.85,0.53105631
FI-Kil,Kilpisjarvi,20140117,31,0.542512985
FI-Kil,Kilpisjarvi,20140118,0.75,0.526352445
FI-Kil,Kilpisjarvi,20140118,5,0.505737742
FI-Kil,Kilpisjarvi,20140118,7,0.494659388
FI-Kil,Kilpisjarvi,20140118,11.2,0.513953506
FI-Kil,Kilpisjarvi,20140118,13.35,0.517500552
FI-Kil,Kilpisjarvi,20140118,17.6,0.522019023
FI-Kil,Kilpisjarvi,20140118,23.75,0.513268803
FI-Kil,Kilpisjarvi,20140118,25.8,0.519353667
FI-Kil,Kilpisjarvi,20140118,27.85,0.534248306
FI-Kil,Kilpisjarvi,20140118,31,0.542362369
FI-Kil,Kilpisjarvi,20140119,0.75,0.546625405
FI-Kil,Kilpisjarvi,20140119,5,0.553987098
FI-Kil,Kilpisjarvi,20140119,7,0.551531049
FI-Kil,Kilpisjarvi,20140119,11.2,0.557805283
FI-Kil,Kilpisjarvi,20140119,13.35,0.557392298
FI-Kil,Kilpisjarvi,20140119,17.6,0.559582022
FI-Kil,Kilpisjarvi,20140119,23.75,0.559257472
FI-Kil,Kilpisjarvi,20140119,25.8,0.544742197
FI-Kil,Kilpisjarvi,20140119,27.85,0.540798057
FI-Kil,Kilpisjarvi,20140119,31,0.538774886
FI-Kil,Kilpisjarvi,20140120,0.75,0.554753832
FI-Kil,Kilpisjarvi,20140120,5,0.549660037
FI-Kil,Kilpisjarvi,20140120,7,0.549109538
