lake_id,subid,name,ebhex,area,depth,longitude,latitude,volume,depth.mean,sedimentArea,Mean_calculated
72891,25351,Tjusjön,0x31e76f,4250489,3.875,16.646932,64.141404,7800000,5.78,1.44E+12,14.33727742
4810,27220,Knäppingesjön,0xfd0838,568892,4,18.393153,64.555377,1070000,,25754302329,5.302791685
