lake_id,subid,name,ebhex,area,depth,longitude,latitude,volume,depth.mean,sedimentArea
15994,9467,Ängsjön,0x775704,1590059,18,12.826149,59.862595,10400000,5.54,2.01195E+11
16618,9740,Kymmen,0x461b7a,14528706,65,12.807357,59.977944,322000000,24.6,1.67975E+13
16730,9636,Mången,0x653333,4247951,33,12.699345,59.942929,48900000,8.96,1.43598E+12
16765,9736,Stor-Ullen,0x11a5a0,7421526,74,13.741289,59.98006,187000000,20.5,4.38305E+12
16825,9824,Norra Hörken,0xbc3bb8,12528542,44,14.922494,60.033913,190000000,17.4,1.24908E+13
17173,10705,Norra Gussjön,0xf043d1,190042,36.5,15.154883,60.231023,2410000,,2874019012
17618,10056,Holmsjön,0xa53e6d,719026,13,14.515891,60.136583,3480000,3.65,41141424830
17689,10240,Väsman,0x2a0665,39104562,54.5,15.1843,60.154782,730000000,18.5,1.21687E+14
17936,10219,Stora Låsen,0xb0838f,1802498,27,14.531433,60.181437,17100000,9,2.58547E+11
18012,10113,Lillsjön,0x4baabf,200014,11,15.99621,60.163107,836000,3.59,3183544701
18088,41185,Knon,0x3a4229,12193435,28.4,13.774105,60.160586,122000000,12,1.18316E+13
18134,10234,Hyttsjön,0x6346fe,507534,13,14.608784,60.165552,2460000,,20498421732
18169,10808,Nyckelvattnet,0xe6909b,1998975,22.25,12.535434,60.344357,15800000,6.37,3.17984E+11
18270,10864,Hällsjön,0xdc127d,412832,21.066667,12.599431,60.362624,3110000,6.15,13562409881
19167,10702,Upprämmen,0xc0fbee,4032446,34.5,13.898061,60.337137,48400000,13.4,1.29398E+12
21405,11461,Ryggen,0x2fceb6,2376858,30,15.998829,60.57928,25000000,5.38,4.49569E+11
21408,10912,Almasjön,0xa17ce7,252413,20,13.859681,60.564614,1810000,,5070066165
21425,11526,Gimmen,0x36c71f,4197301,29,15.261519,60.579834,42700000,5.41,1.40194E+12
21613,11406,Kvarntjärnen,0xa5f736,199923,6,13.934804,60.558595,505000,4,3180648404
21642,11596,Logärden,0x8007fa,6773324,48,16.038948,60.628398,112000000,10.5,3.65085E+12
21708,11773,Hinsen,0xd87f91,11910082,28,16.136433,60.639502,117000000,12.5,1.12881E+13
21727,11693,Spjutsjön,0x5b875b,404284,21.1,15.445283,60.638794,3050000,5.94,13006584515
22457,12270,Brossen,0x89e0a9,1953503,29,15.206004,60.799213,19900000,11,3.03681E+11
22498,12603,Acktjärnen,0xc1f1ba,293674,11.033333,12.91639,60.781388,1230000,4.43,6863112933
22540,12210,Grundmången,0x70ec18,613975,7,14.459508,60.796046,1750000,3.71,29997945561
22573,12095,Rällsjön,0x14d38b,2977484,44.933333,15.286804,60.765895,46100000,14.8,7.05487E+11
22850,12306,Rädsjön,0x3b3b3c,580972,28,14.31845,60.81978,5720000,3.63,26859663034
24726,13493,Rämmasjön,0x3cb7a1,1317545,20,13.92387,61.215017,9450000,3.88,1.38141E+11
30632,3077,Stora Svansjö,0x4679d1,838998,14.666667,12.360996,57.525851,4530000,7.49,56015986624
30704,2628,Solgen,0x980c7,21615184,20,15.114687,57.544312,155000000,7.16,3.71799E+13
30719,2665,Mycklaflon,0x6105c8,11271107,40.25,15.289016,57.557268,157000000,13.1,1.01094E+13
31231,3085,Västra Nedsjön,0xb71506,2670585,34.556667,12.438374,57.706215,32100000,13.5,5.67548E+11
31253,3132,Östra Nedsjön,0xe6e02,7397702,71.666667,12.48708,57.722419,180000000,33.6,4.35496E+12
31895,40488,Viaredssjön,0xca9cd5,3858150,28.634,12.737569,57.69532,38800000,12.4,1.18454E+12
31927,40502,Stora Dalsjön,0xe7d1b9,605651,29.2,13.114247,57.71773,6200000,,29190063057
32276,3326,Ralången,0xfb9a8c,4935398,5,14.81677,57.912728,10900000,2.86,1.93836E+12
32570,3514,Ören,0x16d1be,9007164,37.12,14.559431,57.948266,116000000,14.7,6.45604E+12
33028,3547,Örlången,0xc912bd,831333,14,15.481793,58.007389,4310000,4.17,54997149294
33494,3510,Åsunden,0x5174f5,52580706,53.533333,15.694839,58.140902,965000000,14.3,2.2001E+14
33495,3762,Drögen,0x3a255,8857798,36,15.545606,58.140684,111000000,4.01,6.2437E+12
33590,40544,Sommen,0x7475a3,130301503,53,15.040549,58.146912,2370000000,13.8,1.3511E+15
33957,3558,Rödingehultesjön,0xfd0d74,402478,32,15.533511,58.012718,4500000,3.57,12890640080
34200,3321,Stora Holmevatten,0x584376,339316,30,11.923302,57.986239,3560000,5.26,9162181282
36959,5558,Långvattnet,0x7ed153,1355488,41.5,11.481647,58.841242,19400000,13.7,1.46211E+11
37627,6148,Krokvattnet,0xbbafc5,320207,15,12.366452,58.995902,1760000,3.67,8159279273
37867,6169,Stora Tresticklan,0x4ff3eb,1289857,25,11.787706,59.027926,11400000,5.41,1.32396E+11
38012,6199,Boksjön,0x278db,8252152,55,11.694283,58.997129,155000000,14.4,5.41907E+12
38225,5731,Lilla Le,0x87fdad,740358,59.125,11.92979,58.911748,15000000,,43618802436
38336,5726,Hosjö,0xff2fc2,331363,21,11.512313,58.883437,2490000,7.57,8737721482
38399,5813,Skagern,0xcbbac4,132152812,75.3325,14.112139,58.986244,3380000000,29.1,1.38977E+15
38645,5699,Vångsjön,0x77702d,1041824,9.5,12.061575,58.931632,3840000,4.57,86373168679
39745,7799,Hasselbacketjärnet,0x4c8bb0,124299,19,12.421271,59.416998,850000,3.62,1229491713
39747,8164,Östra Rödvattnet,0x920406,196432,25.833333,12.602053,59.421385,1790000,3.62,3070540014
39832,7799,Älmheds-Långtjärnen,0x5cadd1,155589,24,12.41121,59.418893,1320000,3.62,1926407316
40022,8178,Frosstjärnet,0xa633ae,378399,18,12.673134,59.468565,2460000,,11394364689
40028,8164,Rödvattnet,0x137c9f,262590,45,12.540673,59.458312,4070000,3.62,5487149010
40063,8251,Bjursjön,0x463dcf,347178,11,12.437573,59.472851,1450000,,9591676847
40234,8050,Glatjärnen,0x77dad8,109143,13,12.490253,59.446979,529000,,947942580.3
57102,17592,Horten,0xea5411,6133501,60,14.770112,62.408247,126000000,5.49,2.99369E+12
57310,18463,Råssjön,0xec46dd,4845178,20,14.769708,62.665861,34800000,5.47,1.86814E+12
58305,14370,Storsjön,0x73414,2042245,38.166667,16.697791,61.474196,27000000,13.3,3.31899E+11
58646,14521,Paljackasjön,0x70a3e3,260770,16.066667,14.566859,61.546595,1530000,6.92,5411347483
58764,14417,Södra Gällsjön,0x29cb75,558448,8,14.520237,61.514214,1780000,4.15,24817362112
58785,14414,Hälsen,0xae5bc6,1220149,36.6,16.638234,61.52052,15500000,8.84,1.18472E+11
58899,13974,Näcksjön,0x6afb88,565925,6,14.307872,61.370685,1430000,4.16,25486364851
58978,13841,Kölsjön,0x921108,287065,13,14.929213,61.328637,1390000,,6557686391
59185,14256,Gäddsjön,0x92b80c,174850,5,14.698636,61.432226,385000,4.14,2432884079
63453,19912,Övsjön,0xf771c9,3041937,27.933333,15.988732,63.030152,29900000,8.34,7.36361E+11
63601,20757,Ottsjön,0xce89e8,15475093,31,13.136609,63.191626,168000000,11.3,1.90571E+13
63824,20724,Sällsjön,0x1d0b0d,4671460,25.3,13.693929,63.237623,41800000,7.74,1.73658E+12
64387,21530,Rörsjön,0x6d4b42,442989,24,16.490081,63.146688,3770000,3.66,15616224566
65778,17156,Vitvattssjön,0x3af31a,659839,15,14.642163,62.360305,3640000,3.68,34647037217
66753,5049,Vänern,0x4a8a86,5650000000,91.75,12.370973,58.366991,1.76E+11,29,2.54E+18
67035,40622,Vättern,0xfd7b78,1885977434,128,15.041245,58.533162,81400000000,40.3,2.83E+17
68140,5129,Unden,0x64f65d,92898820,88.333333,14.387583,58.755486,2780000000,31.1,6.86769E+14
68781,4694,Skiren,0xa52e8b,174525,49,16.231082,58.674072,2940000,24.1,2423852038
68994,26641,Rödingträsket,0xc1e887,448198,19,18.496215,64.449411,3070000,3.67,15985638216
69525,26553,Storvattnet,0x74b16b,2689559,48,14.392349,64.42308,44400000,11.1,5.75642E+11
69577,26426,Fågelvattnet,0xfae993,5092637,78,14.553468,64.403459,135000000,11.1,2.06384E+12
69713,41683,Yttre Långvattnet,0xb320d,1234385,20,15.050657,64.445163,8860000,11.7,1.21253E+11
69959,26606,Gussvattnet,0x1bf719,9522497,66,14.31522,64.433083,214000000,24.9,7.21592E+12
70731,41689,Stor-Jougdan,0xd03e5a,4550867,60,14.838099,64.512452,93300000,11.6,1.64808E+12
70757,27263,Kvarnbergsvattnet,0xc6a7e6,65907221,99,14.154062,64.502598,2210000000,50.5,3.45666E+14
71083,25274,Gunnarvattnet,0xb1af35,3394162,31,14.134119,64.092604,36800000,9.94,9.16759E+11
71714,24903,Stor-Skirsjön,0x296d25,8824227,30,16.08438,64.06588,92700000,5.67,6.19646E+12
71804,25030,Ursvattnet,0x4bb0f7,1808343,18,15.695405,64.057761,11800000,3.96,2.60227E+11
72112,25145,Stor-Allvattnet,0x50d8f0,1443110,15,15.568697,64.075281,7950000,3.96,1.65725E+11
72891,25351,Tjusjön,0x31e76f,4250489,3.875,16.646932,64.141404,7800000,5.78,1.4377E+12
73145,25463,Sallsjön,0xc43d38,4613491,10.875,16.577426,64.160896,19100000,5.81,1.69375E+12
77624,25810,Stor-Ringsjön,0x4f7cb0,8359981,51,14.997411,64.264572,146000000,11.8,5.56161E+12
77781,26013,Gräsvattnet,0x6b0a7e,2284522,33,14.816012,64.259689,26300000,11.4,4.15318E+11
78434,25836,Kvisselnvattnet,0x2c6d2e,1705385,23,14.906189,64.239908,13900000,11.6,2.31438E+11
78606,25807,Sängsjön,0x7cd889,11164291,28,17.193382,64.23215,110000000,11.2,9.91865E+12
78866,26285,Gärdvattnet,0x8e06d,2714355,20,15.154971,64.355331,19500000,11.8,5.86305E+11
78882,40157,Fågelsjön,0xaaa04b,12334133,83,14.675798,64.353766,347000000,28.5,1.21062E+13
78956,26519,Hetögeln,0xbaa340,22967474,59.45,14.430824,64.388366,467000000,23,4.19775E+13
79026,41675,Grundvattnet,0x48416f,3801167,30,15.141527,64.3977,39900000,11.8,1.1498E+12
88755,24402,Öjarssjön,0x7633d1,5232871,13,15.078591,63.931288,25400000,4.14,2.17907E+12
88925,24378,Rörvattnet,0x14c9d1,5367191,33.9,14.07475,63.962072,63400000,12.3,2.29237E+12
