lake_id,subid,name,area,depth,longitude,latitude
58646,14521,Paljackasjön,260770.000000,16.066667,14.566859,61.546595
65778,17156,Vitvattssjön,659839.000000,15.000000,14.642163,62.360305
57102,17592,Horten,6133501.000000,60.000000,14.770112,62.408247
578,18211,Lännässjön,19311490.000000,17.000000,14.132533,62.631524
580,18445,Torringen,6769188.000000,29.000000,15.880101,62.646614
57310,18463,Råssjön,4845178.000000,20.000000,14.769708,62.665861
91249,18618,Örevattnet,1150754.000000,12.000000,14.750981,62.693089
91582,18619,Hemsjön,6884458.000000,37.500000,15.638455,62.724949
91946,18935,Revsundssjön,73472918.000000,20.000000,15.353408,62.814040
93333,19102,Näkten,83085649.000000,44.000000,14.569372,62.911806
93479,19105,Bodsjön,16951221.000000,31.500000,14.983079,62.866196
92000,19178,Idsjön,9185507.000000,33.000000,15.712060,62.817967
92840,19348,Öster-Rörtjärnen,107223.000000,7.400000,15.962948,62.900452
93341,19389,Vällingsjön,3366606.000000,25.850000,17.170878,62.910629
94711,19474,Stor-Gussjön,5708724.000000,22.525000,16.849247,62.929613
635,19531,Locknesjön,26580055.000000,57.400000,14.939457,62.919768
94110,19764,Sundsjön,8578779.000000,35.000000,15.175689,62.962921
63453,19912,Övsjön,3041937.000000,27.933333,15.988732,63.030152
698,20344,Storsjön,456332771.000000,74.000000,14.460104,63.298349
681,20530,Degresjön,680770.000000,7.000000,16.493380,63.168743
684,20690,Håckrenmagasinet,43363864.000000,17.133333,13.622067,63.187622
63824,20724,Sällsjön,4671460.000000,25.300000,13.693929,63.237623
63601,20757,Ottsjön,15475093.000000,31.000000,13.136609,63.191626
100025,20983,Ockesjön,7999116.000000,16.000000,13.861174,63.278239
99882,21127,Liten,16245488.000000,19.900000,13.686821,63.296572
100104,21157,Degersjön,6064989.000000,26.500000,17.962070,63.320529
99516,21309,Bärmsjön,4834100.000000,25.000000,17.593110,63.367359
100287,21338,Alsensjön,22145506.000000,33.000000,14.149319,63.324148
99517,21404,Norsjön,1231434.000000,10.000000,13.320436,63.356356
712,21419,Helgesjön,6221586.000000,40.000000,13.312462,63.339970
100187,21486,Näldsjön,41803696.000000,31.000000,14.241947,63.346012
713,21493,Åresjön,6418871.000000,18.900000,13.187659,63.339258
64387,21530,Rörsjön,442989.000000,24.000000,16.490081,63.146688
727,21531,Gevsjön,11236981.000000,31.600000,12.634257,63.396441
99766,21619,Kougstasjön,1779728.000000,20.000000,13.811003,63.404264
101115,21742,Neder-Kriken,733503.000000,4.000000,14.049999,63.450385
101111,21752,Rödtjärnen,80396.000000,7.666667,17.852568,63.445364
100866,21772,Bodtjärnen,105321.000000,6.000000,17.845300,63.458750
100968,21842,Tännsjön,2331076.000000,47.000000,12.737505,63.445837
100895,21844,Stor-Skallsjön,1339507.000000,10.000000,15.763076,63.468423
100915,21845,Hällsjön,5498567.000000,41.500000,13.996806,63.457709
101222,21963,Lundsjön,629853.000000,33.000000,14.531833,63.507169
101207,22032,Häggsjön,1150710.000000,16.000000,13.287221,63.495893
750,22101,Sörviksjön,5749847.000000,23.000000,15.849646,63.552032
100379,22112,Getsjön,3259241.000000,10.000000,13.636612,63.534282
724,22304,Kallsjön,158540386.000000,95.032500,13.383090,63.390914
100835,22306,Gärdessjön,8333487.000000,60.000000,13.750221,63.559649
100687,22325,Görviksjön,9380629.000000,26.000000,15.703844,63.598920
97841,22436,Nästsjön,1172205.000000,6.000000,13.844036,63.612025
