0.000,4.855,4.855,4.855,4.855,4.855,4.855,4.855,4.855
0.000,4.842,4.842,4.842,4.842,4.842,4.842,4.842,4.842
0.000,4.829,4.829,4.829,4.829,4.829,4.829,4.829,4.829
0.000,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817
0.000,4.805,4.805,4.805,4.805,4.805,4.805,4.805,4.805
0.000,4.793,4.793,4.793,4.793,4.793,4.793,4.793,4.793
0.000,4.782,4.782,4.782,4.782,4.782,4.782,4.782,4.782
0.000,4.771,4.771,4.771,4.771,4.771,4.771,4.771,4.771
0.000,4.760,4.760,4.760,4.760,4.760,4.760,4.760,4.760
0.000,4.750,4.750,4.750,4.750,4.750,4.750,4.750,4.750
0.000,4.774,4.774,4.771,4.762,4.758,4.758,4.758,4.758
0.000,4.800,4.800,4.792,4.774,4.766,4.765,4.765,4.765
0.000,4.828,4.828,4.814,4.787,4.774,4.772,4.771,4.771
0.000,4.858,4.858,4.835,4.799,4.782,4.778,4.777,4.777
0.000,4.890,4.890,4.857,4.812,4.791,4.784,4.783,4.783
0.000,4.924,4.924,4.880,4.826,4.799,4.789,4.788,4.788
0.000,4.902,4.902,4.889,4.834,4.805,4.794,4.793,4.793
0.000,4.886,4.886,4.886,4.842,4.811,4.799,4.797,4.797
0.000,4.875,4.875,4.875,4.850,4.817,4.803,4.802,4.801
0.000,4.864,4.864,4.864,4.856,4.823,4.808,4.805,4.805
0.000,4.855,4.855,4.855,4.855,4.829,4.812,4.809,4.809
0.000,4.849,4.849,4.849,4.849,4.834,4.817,4.813,4.813
0.000,4.927,4.916,4.880,4.863,4.841,4.822,4.817,4.816
0.000,5.010,4.986,4.914,4.878,4.849,4.828,4.821,4.819
0.000,4.991,4.991,4.929,4.886,4.854,4.832,4.824,4.822
0.000,4.985,4.985,4.944,4.894,4.860,4.836,4.828,4.825
0.000,4.981,4.981,4.957,4.903,4.865,4.841,4.831,4.828
0.000,4.979,4.979,4.969,4.911,4.871,4.845,4.834,4.831
0.000,4.980,4.980,4.980,4.920,4.876,4.849,4.837,4.833
0.000,4.984,4.984,4.984,4.929,4.882,4.853,4.840,4.836
0.000,4.990,4.990,4.990,4.937,4.888,4.857,4.844,4.838
0.000,4.997,4.997,4.997,4.945,4.894,4.862,4.847,4.840
0.000,5.006,5.006,5.006,4.953,4.900,4.866,4.850,4.843
0.000,5.016,5.016,5.016,4.962,4.906,4.870,4.853,4.845
0.000,5.027,5.027,5.027,4.970,4.912,4.874,4.856,4.847
0.000,5.253,5.163,5.082,4.995,4.925,4.881,4.860,4.850
0.000,5.261,5.205,5.103,5.006,4.932,4.886,4.863,4.852
0.000,5.276,5.246,5.125,5.018,4.939,4.891,4.866,4.854
0.000,5.296,5.288,5.148,5.031,4.947,4.896,4.870,4.857
0.000,5.326,5.326,5.173,5.044,4.955,4.901,4.873,4.859
0.000,5.363,5.363,5.199,5.058,4.963,4.906,4.876,4.861
0.000,5.403,5.403,5.226,5.073,4.972,4.911,4.880,4.863
0.000,5.448,5.448,5.254,5.089,4.981,4.917,4.883,4.866
0.000,5.497,5.497,5.284,5.106,4.991,4.923,4.887,4.868
0.000,5.552,5.550,5.316,5.124,5.001,4.929,4.891,4.870
0.000,5.613,5.605,5.350,5.143,5.011,4.935,4.894,4.873
0.000,5.680,5.664,5.386,5.163,5.022,4.941,4.898,4.875
0.000,5.755,5.728,5.423,5.184,5.034,4.948,4.902,4.878
0.000,5.837,5.798,5.463,5.207,5.046,4.955,4.907,4.880
0.000,5.926,5.874,5.505,5.231,5.059,4.962,4.911,4.883
0.000,6.021,5.957,5.549,5.257,5.074,4.970,4.915,4.886
0.000,6.127,6.054,5.600,5.285,5.089,4.979,4.920,4.889
0.000,6.211,6.160,5.655,5.315,5.106,4.988,4.925,4.892
7.687,6.281,5.182,4.665,4.387,4.246,4.194,4.188,4.188
10.907,7.901,5.844,4.960,4.541,4.335,4.261,4.253,4.252
12.435,9.493,6.495,5.242,4.689,4.417,4.314,4.302,4.301
12.611,11.055,7.140,5.520,4.830,4.498,4.364,4.340,4.337
12.514,12.514,7.781,5.796,4.966,4.579,4.412,4.373,4.369
13.517,13.517,8.417,6.069,5.097,4.661,4.459,4.404,4.397
15.181,15.050,9.052,6.342,5.226,4.742,4.508,4.434,4.422
17.648,16.594,9.688,6.614,5.354,4.820,4.556,4.463,4.445
18.642,18.126,10.324,6.885,5.482,4.896,4.606,4.494,4.466
20.568,19.663,10.960,7.156,5.610,4.970,4.655,4.524,4.487
22.606,21.203,11.597,7.427,5.737,5.043,4.705,4.555,4.508
23.252,22.732,12.235,7.698,5.864,5.114,4.755,4.587,4.529
23.105,23.105,12.868,7.969,5.991,5.183,4.806,4.620,4.550
22.970,22.970,13.496,8.239,6.117,5.252,4.856,4.653,4.572
22.959,22.959,14.120,8.510,6.244,5.320,4.907,4.687,4.594
23.568,23.568,14.741,8.780,6.370,5.388,4.956,4.721,4.616
24.065,24.065,15.360,9.051,6.496,5.456,5.004,4.756,4.640
24.359,24.359,15.976,9.321,6.622,5.524,5.051,4.791,4.663
23.857,23.857,16.585,9.592,6.747,5.592,5.097,4.826,4.688
22.977,22.977,17.185,9.862,6.873,5.660,5.142,4.861,4.712
20.774,20.774,17.766,10.132,6.999,5.727,5.187,4.896,4.738
17.902,17.902,17.902,10.399,7.124,5.795,5.231,4.931,4.763
17.144,17.144,17.144,10.658,7.249,5.862,5.274,4.966,4.789
17.253,17.253,17.253,10.916,7.374,5.929,5.317,5.001,4.815
17.524,17.524,17.524,11.172,7.498,5.996,5.360,5.036,4.842
18.589,18.589,18.119,11.429,7.622,6.063,5.402,5.071,4.869
18.553,18.553,18.553,11.686,7.746,6.129,5.444,5.106,4.896
18.489,18.489,18.489,11.939,7.870,6.196,5.486,5.141,4.923
18.309,18.309,18.309,12.189,7.994,6.262,5.527,5.175,4.950
18.222,18.222,18.222,12.435,8.117,6.328,5.568,5.208,4.978
18.010,18.010,18.010,12.678,8.240,6.394,5.610,5.241,5.005
18.066,18.066,18.066,12.918,8.362,6.459,5.651,5.273,5.032
18.972,18.972,18.691,13.160,8.485,6.525,5.692,5.305,5.059
19.424,19.424,19.300,13.403,8.607,6.590,5.733,5.336,5.086
20.188,20.188,19.904,13.647,8.728,6.655,5.774,5.367,5.113
21.138,21.138,20.509,13.892,8.850,6.720,5.815,5.398,5.140
20.418,20.418,20.418,14.133,8.971,6.785,5.856,5.428,5.167
20.505,20.505,20.505,14.372,9.091,6.850,5.896,5.458,5.193
21.351,21.351,21.113,14.613,9.212,6.914,5.937,5.488,5.220
21.787,21.787,21.709,14.854,9.332,6.979,5.977,5.518,5.246
22.109,22.109,22.109,15.094,9.452,7.043,6.017,5.547,5.272
22.716,22.716,22.716,15.335,9.571,7.107,6.057,5.576,5.298
23.012,23.012,23.012,15.574,9.690,7.170,6.097,5.605,5.324
22.290,22.290,22.290,15.807,9.809,7.234,6.137,5.634,5.350
22.373,22.373,22.373,16.038,9.927,7.297,6.176,5.663,5.375
22.790,22.790,22.790,16.269,10.045,7.360,6.216,5.691,5.401
23.465,23.465,23.391,16.501,10.162,7.423,6.255,5.719,5.426
24.173,24.173,23.984,16.733,10.279,7.486,6.294,5.747,5.451
25.624,25.624,24.582,16.965,10.396,7.549,6.333,5.776,5.475
26.765,26.765,25.180,17.198,10.512,7.611,6.372,5.804,5.499
27.498,27.498,25.772,17.431,10.628,7.673,6.411,5.832,5.522
26.592,26.592,26.340,17.663,10.743,7.735,6.449,5.859,5.545
26.614,26.614,26.614,17.894,10.858,7.797,6.488,5.887,5.568
26.718,26.718,26.718,18.123,10.973,7.858,6.526,5.915,5.591
27.022,27.022,27.022,18.350,11.087,7.919,6.564,5.942,5.614
27.212,27.212,27.212,18.575,11.200,7.980,6.602,5.970,5.636
25.063,25.063,25.063,18.787,11.313,8.041,6.640,5.997,5.658
24.494,24.494,24.494,18.994,11.425,8.102,6.678,6.024,5.681
24.395,24.395,24.395,19.197,11.537,8.162,6.715,6.051,5.702
24.145,24.145,24.145,19.396,11.648,8.222,6.753,6.078,5.724
24.173,24.173,24.173,19.593,11.758,8.282,6.790,6.105,5.746
24.042,24.042,24.042,19.786,11.868,8.341,6.828,6.132,5.767
23.921,23.921,23.921,19.976,11.977,8.400,6.865,6.158,5.789
23.849,23.849,23.849,20.163,12.085,8.459,6.902,6.185,5.810
