SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Was,Washington,200301061230,200301061300,1.1,8.53
US-Was,Washington,200301061230,200301061300,1.1,8.53
US-Was,Washington,200301061230,200301061300,10,8.5
US-Was,Washington,200301061230,200301061300,25,8.51
US-Was,Washington,200301061230,200301061300,40,8.49
US-Was,Washington,200301061230,200301061300,60.1,8.47
US-Was,Washington,200301061230,200301061300,63,8.47
US-Was,Washington,200302041430,200302041500,1,8.26
US-Was,Washington,200302041430,200302041500,1,8.27
US-Was,Washington,200302041430,200302041500,10,8.2
US-Was,Washington,200302041430,200302041500,20,8.2
US-Was,Washington,200302041430,200302041500,40,8.19
US-Was,Washington,200302041430,200302041500,60,8.17
US-Was,Washington,200303031430,200303031500,1,8.06
US-Was,Washington,200303031430,200303031500,1,8.06
US-Was,Washington,200303031430,200303031500,10,7.96
US-Was,Washington,200303031430,200303031500,25.2,7.91
US-Was,Washington,200303031430,200303031500,39.9,7.87
US-Was,Washington,200303031430,200303031500,60.1,7.78
US-Was,Washington,200303201130,200303201200,1.2,8.16
US-Was,Washington,200303201130,200303201200,5.3,8.15
US-Was,Washington,200303201130,200303201200,9.8,8.14
US-Was,Washington,200303201130,200303201200,21.4,8.13
US-Was,Washington,200303201130,200303201200,30.4,8.07
US-Was,Washington,200303201130,200303201200,41.1,8.04
US-Was,Washington,200303201130,200303201200,50.8,8.04
US-Was,Washington,200303201130,200303201200,58.3,7.98
US-Was,Washington,200303201130,200303201200,60,7.94
US-Was,Washington,200304091030,200304091100,1.1,8.8
US-Was,Washington,200304091030,200304091100,5.1,8.78
US-Was,Washington,200304091030,200304091100,5.1,8.8
US-Was,Washington,200304091030,200304091100,10.1,8.78
US-Was,Washington,200304091030,200304091100,14.8,8.78
US-Was,Washington,200304091030,200304091100,20,8.76
US-Was,Washington,200304091030,200304091100,25.4,8.74
US-Was,Washington,200304091030,200304091100,40,8.27
US-Was,Washington,200304091030,200304091100,44.7,8.22
US-Was,Washington,200304091030,200304091100,50.2,8.13
US-Was,Washington,200304091030,200304091100,60.1,8.01
US-Was,Washington,200304091130,200304091200,1,8.83
US-Was,Washington,200304220930,200304221000,1,10.88
US-Was,Washington,200304220930,200304221000,5.1,10.83
US-Was,Washington,200304220930,200304221000,10.1,10.58
US-Was,Washington,200304220930,200304221000,15,10.01
US-Was,Washington,200304220930,200304221000,20,9.21
US-Was,Washington,200304220930,200304221000,25,8.45
US-Was,Washington,200304220930,200304221000,39.9,8.22
US-Was,Washington,200304220930,200304221000,59.7,8.03
US-Was,Washington,200304220930,200304221000,60.2,8.03
US-Was,Washington,200305050930,200305051000,1,11.19
US-Was,Washington,200305050930,200305051000,1,11.23
US-Was,Washington,200305050930,200305051000,5.1,11.12
US-Was,Washington,200305050930,200305051000,10,11.07
