,lake,model,scenario,nbr_forcing_data,forcing_data_empty,hyspometry,daily_obs,init,input,par,calibration
47,Big_Muskellunge_Lake,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
48,Big_Muskellunge_Lake,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
49,Big_Muskellunge_Lake,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
50,Big_Muskellunge_Lake,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
51,Big_Muskellunge_Lake,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
52,Big_Muskellunge_Lake,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
53,Big_Muskellunge_Lake,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
54,Big_Muskellunge_Lake,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
55,Big_Muskellunge_Lake,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
56,Big_Muskellunge_Lake,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
57,Big_Muskellunge_Lake,MIROC5,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
58,Big_Muskellunge_Lake,MIROC5,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
59,Big_Muskellunge_Lake,MIROC5,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
60,Big_Muskellunge_Lake,MIROC5,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
61,Big_Muskellunge_Lake,MIROC5,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
62,Big_Muskellunge_Lake,EWEMBI,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
63,Black_Oak_Lake,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
64,Black_Oak_Lake,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
65,Black_Oak_Lake,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
