0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.092,0.092,0.092
0.000,0.000,0.096,0.096,0.096
0.000,0.000,0.000,0.000,0.000
0.039,0.039,0.039,0.039,0.039
0.081,0.081,0.081,0.081,0.081
0.174,0.174,0.174,0.174,0.174
0.180,0.180,0.180,0.180,0.180
0.144,0.161,0.200,0.200,0.243
0.103,0.106,0.233,0.299,0.342
0.351,0.673,0.673,0.673,0.673
0.454,0.454,0.454,0.454,0.454
0.266,0.600,0.600,0.600,0.600
0.126,0.209,0.528,0.588,0.625
0.037,0.106,0.369,0.481,0.553
0.025,0.058,0.262,0.380,0.465
0.024,0.055,0.220,0.319,0.399
0.011,0.011,0.018,0.239,0.325
0.000,0.000,0.024,0.152,0.246
0.000,0.000,0.021,0.112,0.196
0.000,0.000,0.094,0.165,0.213
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.072,0.072,0.072,0.072,0.072
0.057,0.057,0.057,0.057,0.057
0.142,0.142,0.142,0.142,0.142
0.128,0.128,0.128,0.128,0.128
0.216,0.317,0.317,0.317,0.317
0.632,1.166,1.166,1.166,1.166
0.502,0.502,0.502,0.502,0.502
0.299,0.299,0.299,0.299,0.299
0.201,0.201,0.201,0.201,0.201
0.167,0.167,0.167,0.167,0.167
0.000,0.000,0.000,0.000,0.000
0.341,0.341,0.341,0.341,0.341
0.477,0.835,0.835,0.835,0.835
0.657,0.657,0.657,0.657,0.657
0.402,0.402,0.402,0.402,0.402
0.273,0.273,0.273,0.273,0.273
0.225,0.225,0.225,0.225,0.225
0.173,0.260,0.510,0.554,0.584
0.187,0.187,0.187,0.187,0.187
0.578,0.578,0.578,0.578,0.578
0.479,0.479,0.479,0.479,0.479
0.443,0.443,0.443,0.443,0.443
0.551,0.551,0.551,0.551,0.551
0.644,0.644,0.644,0.644,0.644
0.891,0.891,0.891,0.891,0.891
1.667,1.727,1.727,1.727,1.727
1.349,1.349,1.349,1.349,1.349
0.686,0.686,0.686,0.686,0.686
0.189,0.353,1.018,1.072,1.106
0.000,0.392,0.856,0.956,1.012
0.000,0.000,0.690,0.814,0.890
0.000,0.072,0.589,0.703,0.781
0.000,0.259,0.597,0.667,0.725
0.000,0.000,0.480,0.580,0.649
0.000,0.083,0.466,0.538,0.596
0.109,0.109,0.109,0.109,0.109
0.754,0.754,0.754,0.754,0.754
0.513,0.513,0.513,0.513,0.513
0.412,0.412,0.412,0.412,0.412
0.906,0.906,0.906,0.906,0.906
0.889,1.402,1.402,1.402,1.402
1.276,2.000,2.000,2.000,2.000
1.419,2.224,2.224,2.224,2.224
2.416,2.416,2.416,2.416,2.416
2.339,2.339,2.339,2.339,2.339
1.956,1.956,1.956,1.956,1.956
2.275,2.275,2.275,2.275,2.275
2.328,2.328,2.328,2.328,2.328
