1989.627,1995.793,1999.424,1999.424,1999.424
1994.080,1997.872,1999.792,1999.792,1999.792
1996.373,1997.434,1999.847,1999.847,1999.847
1996.211,1998.395,1999.849,1999.849,1999.849
1996.729,1998.496,1999.864,1999.864,1999.864
1998.134,1998.134,1998.134,1998.134,1998.134
1997.914,1997.914,1997.914,1997.914,1997.914
1998.002,1998.002,1998.002,1998.002,1998.002
1998.223,1998.223,1998.223,1998.223,1998.223
1998.470,1998.470,1998.470,1998.470,1998.470
1998.218,1998.747,2000.000,2000.000,1996.624
1999.108,1997.763,1996.447,1996.554,1996.623
1997.925,1995.461,1995.667,1995.811,1995.900
1995.426,1995.426,1995.426,1995.426,1995.426
1996.982,1993.279,1993.354,1993.406,1993.438
1997.323,1995.547,1991.190,1991.232,1991.264
1998.312,1995.132,1991.710,1991.175,1990.824
1998.181,1995.845,1992.215,1991.578,1991.115
1998.329,1996.167,1993.354,1992.777,1992.250
1997.368,1997.368,1997.150,1992.968,1992.529
1997.821,1998.738,1994.714,1994.059,1993.522
1997.270,1999.456,1995.083,1995.069,1994.720
1996.835,1999.451,1994.968,1995.036,1994.858
1996.969,1996.969,1996.969,1996.969,1996.969
1996.993,1996.993,1996.993,1996.993,1996.993
1997.182,1997.182,1997.182,1997.182,1997.182
1996.570,1996.570,1996.570,1996.570,1996.570
1996.913,1996.913,1996.913,1996.913,1996.913
1996.210,1996.210,1996.210,1996.210,1996.210
1996.495,1996.495,1996.495,1996.495,1996.495
1996.693,1994.013,1994.192,1994.318,1994.395
1996.135,1992.971,1993.073,1993.144,1993.188
1993.697,1993.697,1993.697,1993.697,1993.697
1992.093,1992.093,1992.093,1992.093,1992.093
1992.680,1992.680,1992.680,1992.680,1992.680
1992.959,1992.959,1992.959,1992.959,1992.959
1994.016,1994.016,1994.016,1994.016,1994.016
1989.941,1989.941,1989.941,1989.941,1989.941
1989.542,1983.028,1984.342,1985.263,1985.833
1987.235,1987.235,1987.235,1987.235,1987.235
1988.295,1988.295,1988.295,1988.295,1988.295
1991.779,1991.779,1991.779,1991.779,1991.779
1993.388,1993.388,1993.388,1993.388,1993.388
1996.480,1993.924,1989.607,1990.078,1990.371
1995.031,1995.031,1995.031,1995.031,1995.031
1989.953,1989.953,1989.953,1989.953,1989.953
1990.342,1990.342,1990.342,1990.342,1990.342
1990.542,1990.542,1990.542,1990.542,1990.542
1991.677,1991.677,1991.677,1991.677,1991.677
1992.107,1992.107,1992.107,1992.107,1992.107
